"","Gene Symbol","Representative miRNA"
"142877","ADAM28","hsa-miR-4274"
"142878","ADAM28","hsa-miR-4519"
"142879","ADAM28","hsa-miR-6858-3p"
"142880","ADAM28","hsa-miR-575"
"142881","ADAM28","hsa-miR-3614-3p"
"142882","ADAM28","hsa-miR-6854-5p"
"142883","ADAM28","hsa-miR-4496"
"142884","ADAM28","hsa-miR-3914"
"142885","ADAM28","hsa-miR-4759"
"142886","ADAM28","hsa-miR-3169"
"142887","ADAM28","hsa-miR-8083"
"142888","ADAM28","hsa-miR-6888-5p"
"142889","ADAM28","hsa-miR-2392"
"142890","ADAM28","hsa-miR-1265"
"142891","ADAM28","hsa-miR-3159"
"142892","ADAM28","hsa-miR-4717-5p"
"142893","ADAM28","hsa-miR-15a-3p"
"142894","ADAM28","hsa-miR-3929"
"142895","ADAM28","hsa-miR-5584-5p"
"142896","ADAM28","hsa-miR-6760-5p"
"142897","ADAM28","hsa-miR-4739"
"142898","ADAM28","hsa-miR-6757-5p"
"142899","ADAM28","hsa-miR-4436b-3p"
"142900","ADAM28","hsa-miR-6813-5p"
"142901","ADAM28","hsa-miR-4716-3p"
"142902","ADAM28","hsa-miR-1182"
"142903","ADAM28","hsa-miR-1193"
"142904","ADAM28","hsa-miR-154-5p"
"142905","ADAM28","hsa-miR-4464"
"142906","ADAM28","hsa-miR-329-5p"
"142907","ADAM28","hsa-miR-624-5p"
"142908","ADAM28","hsa-miR-411-5p.1"
"142909","ADAM28","hsa-miR-8079"
"142910","ADAM28","hsa-miR-8062"
"142911","ADAM28","hsa-miR-519e-3p"
"142912","ADAM28","hsa-miR-4280"
"142913","ADAM28","hsa-miR-648"
"142914","ADAM28","hsa-miR-4255"
"142915","ADAM28","hsa-miR-101-5p"
"142916","ADAM28","hsa-miR-3168"
"142917","ADAM28","hsa-miR-6874-3p"
"142918","ADAM28","hsa-miR-5584-3p"
"142919","ADAM28","hsa-miR-4259"
"142920","ADAM28","hsa-miR-3163"
"142921","ADAM28","hsa-miR-369-3p"
"142922","ADAM28","hsa-miR-5692b"
"142923","ADAM28","hsa-miR-381-3p"
"142924","ADAM28","hsa-miR-4666a-3p"
"142925","ADAM28","hsa-miR-3651"
"142926","ADAM28","hsa-miR-7705"
"142927","ADAM28","hsa-miR-135a-3p"
"142928","ADAM28","hsa-miR-410-3p"
"142929","ADAM28","hsa-miR-5011-5p"
"142930","ADAM28","hsa-miR-8076"
"142931","ADAM28","hsa-miR-2115-3p"
"142932","ADAM28","hsa-miR-3617-3p"
"142933","ADAM28","hsa-miR-5094"
"142934","ADAM28","hsa-miR-154-3p"
"142935","ADAM28","hsa-miR-2681-3p"
"142936","ADAM28","hsa-miR-382-3p"
"142937","ADAM28","hsa-miR-5586-5p"
"142938","ADAM28","hsa-miR-4733-5p"
"142939","ADAM28","hsa-miR-188-5p"
"142940","ADAM28","hsa-miR-362-5p"
"142941","ADAM28","hsa-miR-501-5p"
"142942","ADAM28","hsa-miR-3200-5p"
"142943","ADAM28","hsa-miR-3126-3p"
"142944","ADAM28","hsa-miR-1298-3p"
"142945","ADAM28","hsa-miR-200a-5p"
"142946","ADAM28","hsa-miR-141-5p"
"142947","ADAM28","hsa-miR-4712-3p"
"142948","ADAM28","hsa-miR-1272"
"142949","ADAM28","hsa-miR-1322"
"142950","ADAM28","hsa-miR-501-3p"
"142951","ADAM28","hsa-miR-3146"
"142952","ADAM28","hsa-miR-3688-3p"
"142953","ADAM28","hsa-miR-1246"
"142954","ADAM28","hsa-miR-889-5p"
"142955","ADAM28","hsa-miR-5579-5p"
"142956","ADAM28","hsa-miR-218-2-3p"
"142957","ADAM28","hsa-miR-758-5p"
"142958","ADAM28","hsa-miR-4495"
"142959","ADAM28","hsa-miR-4657"
"142960","ADAM28","hsa-miR-511-3p"
"142961","ADAM28","hsa-miR-4307"
"142962","ADAM28","hsa-miR-6504-3p"
"142963","ADAM28","hsa-miR-892c-5p"
"142964","ADAM28","hsa-miR-506-5p"
"142965","ADAM28","hsa-miR-3938"
"142966","ADAM28","hsa-miR-4778-5p"
"142967","ADAM28","hsa-miR-4461"
"142968","ADAM28","hsa-miR-4699-3p"
"142969","ADAM28","hsa-miR-205-3p"
"142970","ADAM28","hsa-miR-5002-5p"
"142971","ADAM28","hsa-miR-3613-3p"
"142972","ADAM28","hsa-miR-1323"
"142973","ADAM28","hsa-miR-8063"
"142974","ADAM28","hsa-miR-4698"
"142975","ADAM28","hsa-miR-6715a-3p"
"142976","ADAM28","hsa-miR-330-3p"
"142977","ADAM28","hsa-miR-3973"
"142978","ADAM28","hsa-miR-520g-3p"
"142979","ADAM28","hsa-miR-4762-5p"
