"name","selected","shared name","type"
"hsa-miR-6728-3p","false","hsa-miR-6728-3p","miRNA"
"hsa-miR-518c-5p","false","hsa-miR-518c-5p","miRNA"
"hsa-miR-6515-3p","false","hsa-miR-6515-3p","miRNA"
"hsa-miR-1236-3p","false","hsa-miR-1236-3p","miRNA"
"hsa-miR-130b-5p","false","hsa-miR-130b-5p","miRNA"
"hsa-miR-4766-5p","false","hsa-miR-4766-5p","miRNA"
"hsa-miR-6730-3p","false","hsa-miR-6730-3p","miRNA"
"hsa-miR-3660","false","hsa-miR-3660","miRNA"
"hsa-miR-6719-3p","false","hsa-miR-6719-3p","miRNA"
"hsa-miR-345-5p","false","hsa-miR-345-5p","miRNA"
"hsa-miR-4251","false","hsa-miR-4251","miRNA"
"hsa-miR-4649-3p","false","hsa-miR-4649-3p","miRNA"
"hsa-miR-7162-3p","false","hsa-miR-7162-3p","miRNA"
"hsa-miR-4682","false","hsa-miR-4682","miRNA"
"hsa-miR-4502","false","hsa-miR-4502","miRNA"
"hsa-miR-3920","false","hsa-miR-3920","miRNA"
"hsa-miR-4772-3p","false","hsa-miR-4772-3p","miRNA"
"hsa-miR-2276-3p","false","hsa-miR-2276-3p","miRNA"
"hsa-miR-3158-5p","false","hsa-miR-3158-5p","miRNA"
"hsa-miR-1184","false","hsa-miR-1184","miRNA"
"hsa-miR-1205","false","hsa-miR-1205","miRNA"
"hsa-miR-17-3p","false","hsa-miR-17-3p","miRNA"
"hsa-miR-20a-3p","false","hsa-miR-20a-3p","miRNA"
"hsa-miR-4769-3p","false","hsa-miR-4769-3p","miRNA"
"hsa-miR-767-3p","false","hsa-miR-767-3p","miRNA"
"hsa-miR-875-3p","false","hsa-miR-875-3p","miRNA"
"hsa-miR-6128","false","hsa-miR-6128","miRNA"
"hsa-miR-4638-3p","false","hsa-miR-4638-3p","miRNA"
"hsa-miR-378a-3p","false","hsa-miR-378a-3p","miRNA"
"hsa-miR-378j","false","hsa-miR-378j","miRNA"
"hsa-miR-4794","false","hsa-miR-4794","miRNA"
"hsa-miR-4646-5p","false","hsa-miR-4646-5p","miRNA"
"hsa-miR-4667-5p","false","hsa-miR-4667-5p","miRNA"
"hsa-miR-6861-5p","false","hsa-miR-6861-5p","miRNA"
"hsa-miR-6776-5p","false","hsa-miR-6776-5p","miRNA"
"hsa-miR-4299","false","hsa-miR-4299","miRNA"
"hsa-miR-29b-1-5p","false","hsa-miR-29b-1-5p","miRNA"
"hsa-miR-3137","false","hsa-miR-3137","miRNA"
"hsa-miR-4742-3p","false","hsa-miR-4742-3p","miRNA"
"hsa-miR-215-3p","false","hsa-miR-215-3p","miRNA"
"hsa-miR-4679","false","hsa-miR-4679","miRNA"
"hsa-miR-6889-3p","false","hsa-miR-6889-3p","miRNA"
"hsa-miR-7114-5p","false","hsa-miR-7114-5p","miRNA"
"hsa-miR-134-3p","false","hsa-miR-134-3p","miRNA"
"hsa-miR-26b-3p","false","hsa-miR-26b-3p","miRNA"
