"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASPM",1.15921693682538,6.06344267271131,5.23606494862727,2.44513038537618e-05,0.00204849309564712,2.69570700311307
"ASB8",0.370326725361627,8.42099910291166,5.21412249672127,2.58261358269723e-05,0.00215006641472725,2.64377713284428
"RAB40C",-0.473091837289163,7.55098327991597,-5.20760901254442,2.62490889418422e-05,0.00215583607422194,2.62835622394398
"FNBP1",0.794270937066329,9.97613665726075,5.20321762853831,2.65381857357789e-05,0.00215583607422194,2.61795797667208
"GZMH",0.954777217002221,8.46236238079507,5.20272908727508,2.65705458980141e-05,0.00215583607422194,2.61680109850021
"CYP1B1",-1.45396186403547,7.32668473194391,-5.20215648763937,2.66085246835334e-05,0.00215583607422194,2.61544514923311
"MYO9A",-0.394808207463451,9.74844326799412,-5.20063417752873,2.67097617415123e-05,0.00215583607422194,2.61184013211561
"ZFP36L1",-0.689370657466742,10.6737437272936,-5.19477503787895,2.71030514073759e-05,0.00215989358447632,2.59796364414105
"RFTN1",0.719504246090526,10.7983400967911,5.19400734267105,2.71550138457255e-05,0.00215989358447632,2.59614531846415
"TOP1",-0.894851800427087,6.63280920559275,-5.19261453084191,2.72495451089783e-05,0.00215989358447632,2.59284628024186
"HPS5",0.520714691442405,7.74887440778605,5.18800217694467,2.75649684382962e-05,0.00217165707498378,2.58192053843078
"SMC4",0.802101478756854,8.43968484772274,5.18566689026769,2.7726074312326e-05,0.00217165707498378,2.57638822200298
"UBE2H",-0.397934451085104,9.19625892982488,-5.17943094088416,2.81609529897751e-05,0.00219274432191561,2.56161359284409
"RTN1",1.08845019712979,7.68136688208809,5.17584232718518,2.84143292506344e-05,0.00219873305685824,2.55311015586011
"UNC45A",-0.811268534347723,7.74232180871807,-5.17365246886576,2.85700752269863e-05,0.00219873305685824,2.54792077852648
"SLC3A2",-0.585629286815626,10.1139437373126,-5.16518422162038,2.91805047507439e-05,0.00222052285897605,2.5278506405754
"DGCR2",-0.485111086700114,8.48451666527451,-5.16192506102441,2.94189341805086e-05,0.00222052285897605,2.52012515967959
"ARFGEF1",0.317766781169185,8.79008133566786,5.16101339727982,2.94859798483745e-05,0.00222052285897605,2.5179640506073
"DNAJC10",0.501598502094903,9.26416528818539,5.15913834200015,2.96243606619056e-05,0.00222052285897605,2.51351905953344
"NCAPH",0.429363228432288,7.66723900692899,5.1560919042343,2.98505899762087e-05,0.00222052285897605,2.50629676469533
"SNTA1",-0.652470620116382,8.92197380904981,-5.15265819093231,3.01076700070656e-05,0.00222052285897605,2.49815570132528
"APOA1",-0.390104471331354,6.9330092529672,-5.15170679119039,3.01792953511308e-05,0.00222052285897605,2.4958998878364
"ATP2A3",-0.448619147807293,7.10050518058948,-5.1514955862912,3.01952190538406e-05,0.00222052285897605,2.49539910406539
"STAT1",0.943912695824279,11.8228885464597,5.14510946750701,3.06807239695099e-05,0.00223856254683036,2.48025590189655
"AGA",0.68505681489746,9.11297017493497,5.14383239050673,3.07787552710679e-05,0.00223856254683036,2.47722733141098
"GJA9",0.499115263427338,7.53756738438575,5.14023533551483,3.1056576057178e-05,0.00224642566813587,2.46869646988896
"CTF1",-0.430823086614169,9.26209012539085,-5.13597108457072,3.13892090852393e-05,0.0022478240331502,2.45858232809963
"CYTIP",1.27292160081131,8.6481069091687,5.13563553558181,3.14155357054307e-05,0.0022478240331502,2.4577864147417
"NAT1",0.585732260400774,8.02332671365167,5.12459145644709,3.2294586620103e-05,0.00228780872537109,2.43158666109955
"EDA",-0.411357166237404,8.85408051043165,-5.12427633580571,3.23200295870963e-05,0.00228780872537109,2.43083900493715
"CBFA2T3",0.501298260912728,7.32631033448074,5.11078161634185,3.34287927727855e-05,0.00235370707411363,2.39881632109983
"MAP7D3",-0.525005942002678,6.46926157784511,-5.10540301770179,3.38813393545826e-05,0.00237294861924132,2.38605028623324
"NCAPD2",0.393830282928476,7.68963259690192,5.0969969450013,3.46010246404589e-05,0.00241059875350397,2.36609550699884
"PTTG1",0.923750815000042,9.75677266725422,5.07678440116873,3.63952910568203e-05,0.00248373062253587,2.31809885705518
"TNFSF10",0.922313405348217,8.75822753994114,5.07614342301465,3.64537010298776e-05,0.00248373062253587,2.31657645039079
"LRP6",-0.387962035515304,8.48656053106966,-5.07498212373261,3.65597668632699e-05,0.00248373062253587,2.31381816041992
"FAM69A",0.786481677247603,9.08082740831179,5.0742825115724,3.66238152507603e-05,0.00248373062253587,2.31215642573818
"SEC22B",-0.50536763136638,9.49986947324018,-5.07206218743896,3.68278328359133e-05,0.00248373062253587,2.30688249854519
"ACOT7",0.985621875427277,8.65711225993044,5.07133616493743,3.68947927898533e-05,0.00248373062253587,2.3051579265146
"LOC101928620",3.21168489411247,8.35439031428823,5.07058515821951,3.69641861932134e-05,0.00248373062253587,2.30337397997761
"Y16709",-0.472728073246088,11.3433207818132,-5.06115635050148,3.78466953998866e-05,0.00252059141738483,2.28097434005459
"DCAKD",-0.343531842182391,6.72245279194698,-5.05938583276667,3.80147651792918e-05,0.00252059141738483,2.27676770310453
"CCNA2",0.648262887623721,6.66779633105974,5.05865848075769,3.80840283657147e-05,0.00252059141738483,2.27503951675473
"IGKV1-17",3.65144494402958,10.454093911143,5.05385175491612,3.85449662354997e-05,0.00252786102837286,2.26361810136012
"SRD5A1",0.557074037492446,5.93036138268457,5.05353223777248,3.85758047693071e-05,0.00252786102837286,2.26285884666856
"NFAT5",-0.553256483462245,6.75379949594675,-5.04758633391048,3.91542404092997e-05,0.00255241961133784,2.24872895598952
"LRRC42",0.368926313823676,7.89087308754639,5.04368385522716,3.95386308573671e-05,0.00255241961133784,2.23945415600446
"LAP3",1.09586235120881,10.9004533275795,5.04164180353894,3.97412849536885e-05,0.00255241961133784,2.2346006390397
"DECR2",-0.343548362284191,9.36740722604024,-5.04027926794261,3.98770857000766e-05,0.00255241961133784,2.23136207575919
"IRF5",-0.418843152798559,7.52744099945802,-5.03990271633269,3.99146981602276e-05,0.00255241961133784,2.23046704794127
"RAB8A",0.508938361817603,10.4467237659369,5.02796347040708,4.1125995098106e-05,0.00261073842170477,2.20208514505802
"PELP1",-0.358518623774,7.64490359241747,-5.02704065911663,4.12211475512803e-05,0.00261073842170477,2.19989116874896
"EED",0.522266203499544,8.67492770062569,5.02512835628984,4.14190349163317e-05,0.00261077983422611,2.19534456008053
"IL32",1.52571526232052,8.96628961457426,5.01896113806307,4.20637730070555e-05,0.0026388538544758,2.18068051280753
"IGKV1-37",2.9157650644446,9.6265045530082,5.0148434355783,4.2499871123907e-05,0.00265363582107149,2.17088872623299
"SLC12A8",0.573494550506078,7.05666291103449,5.01239192424696,4.27616670604436e-05,0.0026574468867563,2.1650587371637
"PCDH9",-1.06522484177028,7.65212612649809,-4.99924283634947,4.41938415997146e-05,0.0027336162675487,2.13378409498978
"MDM1",0.757628332400475,6.36496467488784,4.99100142800198,4.51160228393232e-05,0.00275677279669749,2.11417837170567
"CEP170B",-0.532298266519133,9.58923366473011,-4.98715246992236,4.55533237636552e-05,0.00275677279669749,2.10502098417831
"SH3BP5",-0.723580656413317,10.0746502797645,-4.98580375177018,4.57075671660058e-05,0.00275677279669749,2.10181198502741
"CEP135",0.495544219360163,7.2743595930802,4.98365142871477,4.5954803721664e-05,0.00275677279669749,2.09669081442755
"PPFIA1",-0.716844550785799,7.931754572535,-4.98235015051786,4.610493409232e-05,0.00275677279669749,2.09359449973084
"SAP130",0.341015313115705,8.71161087436943,4.98081113832343,4.62831300349409e-05,0.00275677279669749,2.08993242014303
"DRAM1",0.87247536827531,10.1659454660882,4.97946984369308,4.64389987989723e-05,0.00275677279669749,2.08674072945979
"AGRP",-0.312850601567974,7.21167845703368,-4.97888207523456,4.65074685411559e-05,0.00275677279669749,2.08534207587853
"B4GALT4",0.307868626804362,6.17310832628386,4.97863237903865,4.65365866711712e-05,0.00275677279669749,2.08474789460031
"RAB3GAP1",-0.443963738988112,8.66742851601072,-4.97765418281684,4.66508352693388e-05,0.00275677279669749,2.08242013763536
"FAM120A",-0.643525898356353,8.87583225299979,-4.97405890913684,4.70731787974676e-05,0.00276936741218702,2.07386433543075
